ProgramYear,CECounty,ESC,TDARegion,SiteID,SiteName,SiteCounty,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,BreakfastDays,BreakfastTotal,BreakfastADP,BreakfastServedFree,BreakfastServedReduced,BreakfastServedPaid,LunchDays,LunchTotal,LunchADP,LunchServedFree,LunchServedReduced,LunchServedPaid,SnackDays,SnackTotal,SnackADP,SnackServedFree,SnackServedReduced,SnackServedPaid,TotalMealsSnacks,BreakfastReimbursement,LunchReimbursement,SnackReimbursement,TotalReimbursement
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,08/01/2017,764,764,0,0,14,7532,538.0,7532,0,0,14,7947,567.64,7947,0,0,0,0,0.0,0,0,0,15479,15741.88,26304.57,0.0,42046.45
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,09/01/2017,762,762,0,0,23,10763,467.96,10763,0,0,23,10920,474.78,10920,0,0,10,544,54.4,544,0,0,22227,22494.67,36145.2,478.72,59118.59
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,10/01/2017,760,760,0,0,24,10992,458.0,10992,0,0,24,11292,470.5,11292,0,0,19,1268,66.74,1268,0,0,23552,22973.28,37376.52,1115.84,61465.64
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,11/01/2017,759,759,0,0,18,10503,583.5,10503,0,0,18,9279,515.5,9279,0,0,16,1137,71.06,1137,0,0,20919,21951.27,30713.49,1000.56,53665.32
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,12/01/2017,755,755,0,0,17,8568,504.0,8568,0,0,17,7340,431.76,7340,0,0,10,665,66.5,665,0,0,16573,17907.12,24295.4,585.2,42787.72
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,01/01/2018,752,752,0,0,18,9618,534.33,9618,0,0,18,8984,499.11,8984,0,0,11,305,27.73,305,0,0,18907,20101.62,29737.04,268.4,50107.06
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,02/01/2018,748,748,0,0,20,11272,563.6,11272,0,0,19,10503,552.79,10503,0,0,17,554,32.59,554,0,0,22329,23558.48,34764.93,487.52,58810.93
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,03/01/2018,746,746,0,0,15,10218,681.2,10218,0,0,16,9482,592.63,9482,0,0,15,546,36.4,546,0,0,20246,21355.62,31385.42,480.48,53221.52
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,04/01/2018,745,745,0,0,22,13652,620.55,13652,0,0,24,13130,547.08,13130,0,0,19,693,36.47,693,0,0,27475,28532.68,43460.3,609.84,72602.82
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,05/01/2018,742,742,0,0,23,13988,608.17,13988,0,0,23,13882,603.57,13882,0,0,17,425,25.0,425,0,0,28295,29234.92,45949.42,374.0,75558.34
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,06/01/2018,739,739,0,0,1,461,461.0,461,0,0,1,532,532.0,532,0,0,0,0,0.0,0,0,0,993,963.49,1760.92,0.0,2724.41
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,08/01/2017,759,587,0,172,14,9022,644.43,6983,0,2039,14,8792,628.0,6805,0,1987,0,0,0.0,0,0,0,17814,15206.17,23299.48,0.0,38505.65
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,09/01/2017,748,579,0,169,20,13089,654.45,10131,0,2958,20,12964,648.2,10034,0,2930,20,3933,196.65,3933,0,0,29986,22061.19,34355.24,3461.04,59877.47
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,10/01/2017,743,575,0,168,20,12623,631.15,9770,0,2853,20,12380,619.0,9582,0,2798,19,2342,123.26,2342,0,0,27345,21275.2,32807.64,2060.96,56143.8
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,11/01/2017,741,574,0,167,17,10410,612.35,8057,0,2353,17,10327,607.47,7993,0,2334,10,1110,111.0,1110,0,0,21847,17545.03,27367.09,976.8,45888.92
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,12/01/2017,733,567,0,166,14,9153,653.79,7084,0,2069,14,8964,640.29,6938,0,2026,10,985,98.5,985,0,0,19102,15426.26,23754.92,866.8,40047.98
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,01/01/2018,727,563,0,164,17,10180,598.82,7879,0,2301,17,10146,596.82,7853,0,2293,8,957,119.63,957,0,0,21283,17157.41,26887.7,842.16,44887.27
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,02/01/2018,724,560,0,164,18,11133,618.5,8617,0,2516,18,10527,584.83,8148,0,2379,18,2852,158.44,2852,0,0,24512,18764.33,27897.69,2509.76,49171.78
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,03/01/2018,723,560,0,163,16,9504,594.0,7356,0,2148,15,9246,616.4,7156,0,2090,14,2234,159.57,2234,0,0,20984,16018.44,24501.46,1965.92,42485.82
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,04/01/2018,722,559,0,163,22,13043,592.86,10095,0,2948,21,12823,610.62,9925,0,2898,21,4282,203.9,4282,0,0,30148,21982.95,33981.97,3768.16,59733.08
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,05/01/2018,722,559,0,163,23,13337,579.87,10323,0,3014,23,13912,604.87,10768,0,3144,10,1905,190.5,1905,0,0,29154,22479.27,36868.24,1676.4,61023.91
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,06/01/2018,722,559,0,163,1,498,498.0,385,0,113,1,526,526.0,407,0,119,0,0,0.0,0,0,0,1024,838.55,1393.58,0.0,2232.13
2017-2018,HIDALGO,1,5,3,IDEA FRONTIER COLLEGE PREPARATORY,CAMERON,08/01/2017,776,776,0,0,13,6150,473.08,6150,0,0,13,8071,620.85,8071,0,0,0,0,0.0,0,0,0,14221,12853.5,26715.01,0.0,39568.51
2017-2018,HIDALGO,1,5,3,IDEA FRONTIER COLLEGE PREPARATORY,CAMERON,09/01/2017,776,776,0,0,20,10166,508.3,10166,0,0,20,13170,658.5,13170,0,0,0,0,0.0,0,0,0,23336,21246.94,43592.7,0.0,64839.64
2017-2018,HIDALGO,1,5,3,IDEA FRONTIER COLLEGE PREPARATORY,CAMERON,10/01/2017,777,777,0,0,22,11140,506.36,11140,0,0,22,13959,634.5,13959,0,0,0,0,0.0,0,0,0,25099,23282.6,46204.29,0.0,69486.89
2017-2018,HIDALGO,1,5,3,IDEA FRONTIER COLLEGE PREPARATORY,CAMERON,11/01/2017,775,775,0,0,19,10466,550.84,10466,0,0,19,11595,610.26,11595,0,0,0,0,0.0,0,0,0,22061,21873.94,38379.45,0.0,60253.39
2017-2018,HIDALGO,1,5,3,IDEA FRONTIER COLLEGE PREPARATORY,CAMERON,12/01/2017,772,772,0,0,16,7738,483.63,7738,0,0,16,9206,575.38,9206,0,0,0,0,0.0,0,0,0,16944,16172.42,30471.86,0.0,46644.28
2017-2018,HIDALGO,1,5,3,IDEA FRONTIER COLLEGE PREPARATORY,CAMERON,01/01/2018,769,769,0,0,18,9534,529.67,9534,0,0,18,10788,599.33,10788,0,0,0,0,0.0,0,0,0,20322,19926.06,35708.28,0.0,55634.34
2017-2018,HIDALGO,1,5,3,IDEA FRONTIER COLLEGE PREPARATORY,CAMERON,02/01/2018,762,762,0,0,20,11086,554.3,11086,0,0,20,12108,605.4,12108,0,0,0,0,0.0,0,0,0,23194,23169.74,40077.48,0.0,63247.22
2017-2018,HIDALGO,1,5,3,IDEA FRONTIER COLLEGE PREPARATORY,CAMERON,03/01/2018,763,763,0,0,17,9366,550.94,9366,0,0,17,9816,577.41,9816,0,0,0,0,0.0,0,0,0,19182,19574.94,32490.96,0.0,52065.9
2017-2018,HIDALGO,1,5,3,IDEA FRONTIER COLLEGE PREPARATORY,CAMERON,04/01/2018,757,757,0,0,25,12858,514.32,12858,0,0,25,13474,538.96,13474,0,0,0,0,0.0,0,0,0,26332,26873.22,44598.94,0.0,71472.16
2017-2018,HIDALGO,1,5,3,IDEA FRONTIER COLLEGE PREPARATORY,CAMERON,05/01/2018,755,755,0,0,25,13959,558.36,13959,0,0,26,14812,569.69,14812,0,0,0,0,0.0,0,0,0,28771,29174.31,49027.72,0.0,78202.03
2017-2018,HIDALGO,1,5,3,IDEA FRONTIER COLLEGE PREPARATORY,CAMERON,06/01/2018,754,754,0,0,1,533,533.0,533,0,0,1,675,675.0,675,0,0,0,0,0.0,0,0,0,1208,1113.97,2234.25,0.0,3348.22
2017-2018,HIDALGO,1,5,4,IDEA COLLEGE PREPARATORY-MISSION,HIDALGO,08/01/2017,800,800,0,0,14,7923,565.93,7923,0,0,14,8964,640.29,8964,0,0,0,0,0.0,0,0,0,16887,16559.07,29670.84,0.0,46229.91
2017-2018,HIDALGO,1,5,4,IDEA COLLEGE PREPARATORY-MISSION,HIDALGO,09/01/2017,800,800,0,0,20,13859,692.95,13859,0,0,20,13370,668.5,13370,0,0,14,1395,99.64,1395,0,0,28624,28965.31,44254.7,1227.6,74447.61
2017-2018,HIDALGO,1,5,4,IDEA COLLEGE PREPARATORY-MISSION,HIDALGO,10/01/2017,801,801,0,0,20,13721,686.05,13721,0,0,20,13457,672.85,13457,0,0,18,2612,145.11,2612,0,0,29790,28676.89,44542.67,2298.56,75518.12
2017-2018,HIDALGO,1,5,4,IDEA COLLEGE PREPARATORY-MISSION,HIDALGO,11/01/2017,798,798,0,0,17,11939,702.29,11939,0,0,17,11347,667.47,11347,0,0,14,2383,170.21,2383,0,0,25669,24952.51,37558.57,2097.04,64608.12
2017-2018,HIDALGO,1,5,4,IDEA COLLEGE PREPARATORY-MISSION,HIDALGO,12/01/2017,790,790,0,0,14,9222,658.71,9222,0,0,14,9007,643.36,9007,0,0,10,1587,158.7,1587,0,0,19816,19273.98,29813.17,1396.56,50483.71
2017-2018,HIDALGO,1,5,4,IDEA COLLEGE PREPARATORY-MISSION,HIDALGO,01/01/2018,789,789,0,0,17,11227,660.41,11227,0,0,17,11067,651.0,11067,0,0,16,2185,136.56,2185,0,0,24479,23464.43,36631.77,1922.8,62019.0
2017-2018,HIDALGO,1,5,4,IDEA COLLEGE PREPARATORY-MISSION,HIDALGO,02/01/2018,786,786,0,0,18,11643,646.83,11643,0,0,18,11275,626.39,11275,0,0,17,2573,151.35,2573,0,0,25491,24333.87,37320.25,2264.24,63918.36
2017-2018,HIDALGO,1,5,4,IDEA COLLEGE PREPARATORY-MISSION,HIDALGO,03/01/2018,783,783,0,0,16,10069,629.31,10069,0,0,16,9919,619.94,9919,0,0,15,2333,155.53,2333,0,0,22321,21044.21,32831.89,2053.04,55929.14
2017-2018,HIDALGO,1,5,4,IDEA COLLEGE PREPARATORY-MISSION,HIDALGO,04/01/2018,780,780,0,0,24,14334,597.25,14334,0,0,24,14046,585.25,14046,0,0,16,3079,192.44,3079,0,0,31459,29958.06,46492.26,2709.52,79159.84
2017-2018,HIDALGO,1,5,4,IDEA COLLEGE PREPARATORY-MISSION,HIDALGO,05/01/2018,777,777,0,0,25,15127,605.08,15127,0,0,25,14652,586.08,14652,0,0,15,2446,163.07,2446,0,0,32225,31615.43,48498.12,2152.48,82266.03
2017-2018,HIDALGO,1,5,4,IDEA COLLEGE PREPARATORY-MISSION,HIDALGO,06/01/2018,777,777,0,0,1,484,484.0,484,0,0,1,669,669.0,669,0,0,0,0,0.0,0,0,0,1153,1011.56,2214.39,0.0,3225.95
2017-2018,HIDALGO,1,5,5,IDEA COLLEGE PREPARATORY-SAN BENITO,CAMERON,08/01/2017,792,792,0,0,13,7252,557.85,7252,0,0,13,7244,557.23,7244,0,0,0,0,0.0,0,0,0,14496,15156.68,23977.64,0.0,39134.32
2017-2018,HIDALGO,1,5,5,IDEA COLLEGE PREPARATORY-SAN BENITO,CAMERON,09/01/2017,791,791,0,0,20,14153,707.65,14153,0,0,20,11692,584.6,11692,0,0,0,0,0.0,0,0,0,25845,29579.77,38700.52,0.0,68280.29
2017-2018,HIDALGO,1,5,5,IDEA COLLEGE PREPARATORY-SAN BENITO,CAMERON,10/01/2017,788,788,0,0,21,14352,683.43,14352,0,0,21,11034,525.43,11034,0,0,0,0,0.0,0,0,0,25386,29995.68,36522.54,0.0,66518.22
2017-2018,HIDALGO,1,5,5,IDEA COLLEGE PREPARATORY-SAN BENITO,CAMERON,11/01/2017,785,785,0,0,17,11789,693.47,11789,0,0,17,9764,574.35,9764,0,0,0,0,0.0,0,0,0,21553,24639.01,32318.84,0.0,56957.85
2017-2018,HIDALGO,1,5,5,IDEA COLLEGE PREPARATORY-SAN BENITO,CAMERON,12/01/2017,779,779,0,0,14,9468,676.29,9468,0,0,14,7923,565.93,7923,0,0,0,0,0.0,0,0,0,17391,19788.12,26225.13,0.0,46013.25
2017-2018,HIDALGO,1,5,5,IDEA COLLEGE PREPARATORY-SAN BENITO,CAMERON,01/01/2018,769,769,0,0,17,11084,652.0,11084,0,0,17,8792,517.18,8792,0,0,0,0,0.0,0,0,0,19876,23165.56,29101.52,0.0,52267.08
2017-2018,HIDALGO,1,5,5,IDEA COLLEGE PREPARATORY-SAN BENITO,CAMERON,02/01/2018,769,769,0,0,18,12067,670.39,12067,0,0,18,10302,572.33,10302,0,0,0,0,0.0,0,0,0,22369,25220.03,34099.62,0.0,59319.65
2017-2018,HIDALGO,1,5,5,IDEA COLLEGE PREPARATORY-SAN BENITO,CAMERON,03/01/2018,766,766,0,0,15,9997,666.47,9997,0,0,15,9544,636.27,9544,0,0,0,0,0.0,0,0,0,19541,20893.73,31590.64,0.0,52484.37
2017-2018,HIDALGO,1,5,5,IDEA COLLEGE PREPARATORY-SAN BENITO,CAMERON,04/01/2018,765,765,0,0,21,13806,657.43,13806,0,0,21,14013,667.29,14013,0,0,0,0,0.0,0,0,0,27819,28854.54,46383.03,0.0,75237.57
2017-2018,HIDALGO,1,5,5,IDEA COLLEGE PREPARATORY-SAN BENITO,CAMERON,05/01/2018,746,746,0,0,23,15207,661.17,15207,0,0,23,16625,722.83,16625,0,0,0,0,0.0,0,0,0,31832,31782.63,55028.75,0.0,86811.38
2017-2018,HIDALGO,1,5,5,IDEA COLLEGE PREPARATORY-SAN BENITO,CAMERON,06/01/2018,761,761,0,0,1,689,689.0,689,0,0,1,742,742.0,742,0,0,0,0,0.0,0,0,0,1431,1440.01,2456.02,0.0,3896.03
2017-2018,HIDALGO,1,5,6,IDEA COLLEGE PREPARATORY SAN JUAN,HIDALGO,08/01/2017,757,757,0,0,14,8519,608.5,8519,0,0,14,8721,622.93,8721,0,0,0,0,0.0,0,0,0,17240,17804.71,28866.51,0.0,46671.22
2017-2018,HIDALGO,1,5,6,IDEA COLLEGE PREPARATORY SAN JUAN,HIDALGO,09/01/2017,753,753,0,0,21,12538,597.05,12538,0,0,21,12644,602.1,12644,0,0,13,864,66.46,864,0,0,26046,26204.42,41851.64,760.32,68816.38
2017-2018,HIDALGO,1,5,6,IDEA COLLEGE PREPARATORY SAN JUAN,HIDALGO,10/01/2017,743,743,0,0,20,12371,618.55,12371,0,0,20,12427,621.35,12427,0,0,17,859,50.53,859,0,0,25657,25855.39,41133.37,755.92,67744.68
2017-2018,HIDALGO,1,5,6,IDEA COLLEGE PREPARATORY SAN JUAN,HIDALGO,11/01/2017,738,738,0,0,17,9580,563.53,9580,0,0,17,9417,553.94,9417,0,0,12,778,64.83,778,0,0,19775,20022.2,31170.27,684.64,51877.11
2017-2018,HIDALGO,1,5,6,IDEA COLLEGE PREPARATORY SAN JUAN,HIDALGO,12/01/2017,730,730,0,0,14,8395,599.64,8395,0,0,14,7954,568.14,7954,0,0,8,541,67.63,541,0,0,16890,17545.55,26327.74,476.08,44349.37
2017-2018,HIDALGO,1,5,6,IDEA COLLEGE PREPARATORY SAN JUAN,HIDALGO,01/01/2018,728,728,0,0,17,9843,579.0,9843,0,0,18,9979,554.39,9979,0,0,9,615,68.33,615,0,0,20437,20571.87,33030.49,541.2,54143.56
2017-2018,HIDALGO,1,5,6,IDEA COLLEGE PREPARATORY SAN JUAN,HIDALGO,02/01/2018,720,720,0,0,19,11129,585.74,11129,0,0,18,10538,585.44,10538,0,0,15,1288,85.87,1288,0,0,22955,23259.61,34880.78,1133.44,59273.83
2017-2018,HIDALGO,1,5,6,IDEA COLLEGE PREPARATORY SAN JUAN,HIDALGO,03/01/2018,719,719,0,0,15,8895,593.0,8895,0,0,15,8724,581.6,8724,0,0,10,712,71.2,712,0,0,18331,18590.55,28876.44,626.56,48093.55
2017-2018,HIDALGO,1,5,6,IDEA COLLEGE PREPARATORY SAN JUAN,HIDALGO,04/01/2018,714,714,0,0,21,12537,597.0,12537,0,0,21,12491,594.81,12491,0,0,15,560,37.33,560,0,0,25588,26202.33,41345.21,492.8,68040.34
2017-2018,HIDALGO,1,5,6,IDEA COLLEGE PREPARATORY SAN JUAN,HIDALGO,05/01/2018,708,708,0,0,23,13259,576.48,13259,0,0,23,12663,550.57,12663,0,0,10,407,40.7,407,0,0,26329,27711.31,41914.53,358.16,69984.0
2017-2018,HIDALGO,1,5,6,IDEA COLLEGE PREPARATORY SAN JUAN,HIDALGO,06/01/2018,708,708,0,0,1,470,470.0,470,0,0,1,418,418.0,418,0,0,0,0,0.0,0,0,0,888,982.3,1383.58,0.0,2365.88
2017-2018,HIDALGO,1,5,7,IDEA  COLLEGE PREPARATORY-ALAMO,HIDALGO,08/01/2017,773,773,0,0,14,8467,604.79,8467,0,0,14,9792,699.43,9792,0,0,0,0,0.0,0,0,0,18259,17696.03,32411.52,0.0,50107.55
2017-2018,HIDALGO,1,5,7,IDEA  COLLEGE PREPARATORY-ALAMO,HIDALGO,09/01/2017,763,763,0,0,21,12256,583.62,12256,0,0,21,14052,669.14,14052,0,0,5,320,64.0,320,0,0,26628,25615.04,46512.12,281.6,72408.76
2017-2018,HIDALGO,1,5,7,IDEA  COLLEGE PREPARATORY-ALAMO,HIDALGO,10/01/2017,761,761,0,0,23,12171,529.17,12171,0,0,23,14035,610.22,14035,0,0,18,936,52.0,936,0,0,27142,25437.39,46455.85,823.68,72716.92
2017-2018,HIDALGO,1,5,7,IDEA  COLLEGE PREPARATORY-ALAMO,HIDALGO,11/01/2017,758,758,0,0,17,11011,647.71,11011,0,0,17,11658,685.76,11658,0,0,15,1080,72.0,1080,0,0,23749,23012.99,38587.98,950.4,62551.37
2017-2018,HIDALGO,1,5,7,IDEA  COLLEGE PREPARATORY-ALAMO,HIDALGO,12/01/2017,751,751,0,0,15,8765,584.33,8765,0,0,15,9300,620.0,9300,0,0,10,429,42.9,429,0,0,18494,18318.85,30783.0,377.52,49479.37
2017-2018,HIDALGO,1,5,7,IDEA  COLLEGE PREPARATORY-ALAMO,HIDALGO,01/01/2018,744,744,0,0,19,10325,543.42,10325,0,0,19,11540,607.37,11540,0,0,6,199,33.17,199,0,0,22064,21579.25,38197.4,175.12,59951.77
2017-2018,HIDALGO,1,5,7,IDEA  COLLEGE PREPARATORY-ALAMO,HIDALGO,02/01/2018,741,741,0,0,19,10354,544.95,10354,0,0,19,11428,601.47,11428,0,0,17,724,42.59,724,0,0,22506,21639.86,37826.68,637.12,60103.66
2017-2018,HIDALGO,1,5,7,IDEA  COLLEGE PREPARATORY-ALAMO,HIDALGO,03/01/2018,739,739,0,0,18,9096,505.33,9096,0,0,18,10348,574.89,10348,0,0,13,415,31.92,415,0,0,19859,19010.64,34251.88,365.2,53627.72
2017-2018,HIDALGO,1,5,7,IDEA  COLLEGE PREPARATORY-ALAMO,HIDALGO,04/01/2018,736,736,0,0,25,12627,505.08,12627,0,0,25,14345,573.8,14345,0,0,20,585,29.25,585,0,0,27557,26390.43,47481.95,514.8,74387.18
2017-2018,HIDALGO,1,5,7,IDEA  COLLEGE PREPARATORY-ALAMO,HIDALGO,05/01/2018,735,735,0,0,25,14082,563.28,14082,0,0,25,14828,593.12,14828,0,0,18,521,28.94,521,0,0,29431,29431.38,49080.68,458.48,78970.54
2017-2018,HIDALGO,1,5,7,IDEA  COLLEGE PREPARATORY-ALAMO,HIDALGO,06/01/2018,761,761,0,0,1,517,517.0,517,0,0,1,608,608.0,608,0,0,0,0,0.0,0,0,0,1125,1080.53,2012.48,0.0,3093.01
2017-2018,HIDALGO,1,5,8,IDEA  COLLEGE PREPARATORY-PHARR,HIDALGO,08/01/2017,774,774,0,0,14,8921,637.21,8921,0,0,14,9714,693.86,9714,0,0,0,0,0.0,0,0,0,18635,18644.89,32153.34,0.0,50798.23
2017-2018,HIDALGO,1,5,8,IDEA  COLLEGE PREPARATORY-PHARR,HIDALGO,09/01/2017,770,770,0,0,23,13272,577.04,13272,0,0,23,14922,648.78,14922,0,0,0,0,0.0,0,0,0,28194,27738.48,49391.82,0.0,77130.3
2017-2018,HIDALGO,1,5,8,IDEA  COLLEGE PREPARATORY-PHARR,HIDALGO,10/01/2017,764,764,0,0,21,13024,620.19,13024,0,0,21,14747,702.24,14747,0,0,0,0,0.0,0,0,0,27771,27220.16,48812.57,0.0,76032.73
2017-2018,HIDALGO,1,5,8,IDEA  COLLEGE PREPARATORY-PHARR,HIDALGO,11/01/2017,764,764,0,0,19,10910,574.21,10910,0,0,19,11878,625.16,11878,0,0,0,0,0.0,0,0,0,22788,22801.9,39316.18,0.0,62118.08
2017-2018,HIDALGO,1,5,8,IDEA  COLLEGE PREPARATORY-PHARR,HIDALGO,12/01/2017,763,763,0,0,14,8632,616.57,8632,0,0,14,9744,696.0,9744,0,0,0,0,0.0,0,0,0,18376,18040.88,32252.64,0.0,50293.52
2017-2018,HIDALGO,1,5,8,IDEA  COLLEGE PREPARATORY-PHARR,HIDALGO,01/01/2018,757,757,0,0,18,10480,582.22,10480,0,0,18,11465,636.94,11465,0,0,0,0,0.0,0,0,0,21945,21903.2,37949.15,0.0,59852.35
2017-2018,HIDALGO,1,5,8,IDEA  COLLEGE PREPARATORY-PHARR,HIDALGO,02/01/2018,758,758,0,0,20,10986,549.3,10986,0,0,20,12831,641.55,12831,0,0,0,0,0.0,0,0,0,23817,22960.74,42470.61,0.0,65431.35
2017-2018,HIDALGO,1,5,8,IDEA  COLLEGE PREPARATORY-PHARR,HIDALGO,03/01/2018,755,755,0,0,15,8822,588.13,8822,0,0,15,10352,690.13,10352,0,0,0,0,0.0,0,0,0,19174,18437.98,34265.12,0.0,52703.1
2017-2018,HIDALGO,1,5,8,IDEA  COLLEGE PREPARATORY-PHARR,HIDALGO,04/01/2018,755,755,0,0,25,12887,515.48,12887,0,0,25,14870,594.8,14870,0,0,0,0,0.0,0,0,0,27757,26933.83,49219.7,0.0,76153.53
2017-2018,HIDALGO,1,5,8,IDEA  COLLEGE PREPARATORY-PHARR,HIDALGO,05/01/2018,753,753,0,0,24,13693,570.54,13693,0,0,24,15520,646.67,15520,0,0,0,0,0.0,0,0,0,29213,28618.37,51371.2,0.0,79989.57
2017-2018,HIDALGO,1,5,8,IDEA  COLLEGE PREPARATORY-PHARR,HIDALGO,06/01/2018,753,753,0,0,1,544,544.0,544,0,0,1,644,644.0,644,0,0,0,0,0.0,0,0,0,1188,1136.96,2131.64,0.0,3268.6
2017-2018,HIDALGO,1,5,9,IDEA Edinburg College Preparatory,HIDALGO,08/01/2017,755,584,0,171,14,8325,594.64,6444,0,1881,14,7476,534.0,5786,0,1690,0,0,0.0,0,0,0,15801,14032.26,19810.76,0.0,33843.02
2017-2018,HIDALGO,1,5,9,IDEA Edinburg College Preparatory,HIDALGO,09/01/2017,750,581,0,169,20,11350,567.5,8785,0,2565,20,11224,561.2,8687,0,2537,12,1169,97.42,1169,0,0,23743,19130.15,29743.4,1028.72,49902.27
2017-2018,HIDALGO,1,5,9,IDEA Edinburg College Preparatory,HIDALGO,10/01/2017,750,581,0,169,21,12627,601.29,9773,0,2854,21,11288,537.52,8737,0,2551,18,1594,88.56,1594,0,0,25509,21281.77,29914.36,1402.72,52598.85
2017-2018,HIDALGO,1,5,9,IDEA Edinburg College Preparatory,HIDALGO,11/01/2017,748,579,0,169,19,11261,592.68,8716,0,2545,19,9034,475.47,6992,0,2042,14,1178,84.14,1178,0,0,21473,18979.94,23939.9,1036.64,43956.48
2017-2018,HIDALGO,1,5,9,IDEA Edinburg College Preparatory,HIDALGO,12/01/2017,744,576,0,168,15,9815,654.33,7597,0,2218,15,8136,542.4,6297,0,1839,8,695,86.88,695,0,0,18646,16543.13,21560.28,611.6,38715.01
2017-2018,HIDALGO,1,5,9,IDEA Edinburg College Preparatory,HIDALGO,01/01/2018,737,570,0,167,18,11668,648.22,9031,0,2637,18,8995,499.72,6962,0,2033,5,391,78.2,391,0,0,21054,19665.89,23837.09,344.08,43847.06
2017-2018,HIDALGO,1,5,9,IDEA Edinburg College Preparatory,HIDALGO,02/01/2018,735,569,0,166,21,13140,625.71,10170,0,2970,21,9861,469.57,7632,0,2229,12,840,70.0,840,0,0,23841,22146.3,26131.23,739.2,49016.73
2017-2018,HIDALGO,1,5,9,IDEA Edinburg College Preparatory,HIDALGO,03/01/2018,731,566,0,165,18,10922,606.78,8454,0,2468,17,7881,463.59,6100,0,1781,12,856,71.33,856,0,0,19659,18409.26,20885.59,753.28,40048.13
2017-2018,HIDALGO,1,5,9,IDEA Edinburg College Preparatory,HIDALGO,04/01/2018,728,563,0,165,25,15139,605.56,11718,0,3421,25,11183,447.32,8656,0,2527,16,1665,104.06,1665,0,0,27987,25516.92,29636.89,1465.2,56619.01
2017-2018,HIDALGO,1,5,9,IDEA Edinburg College Preparatory,HIDALGO,05/01/2018,728,563,0,165,25,16464,658.56,12743,0,3721,25,12331,493.24,9544,0,2787,7,662,94.57,662,0,0,29457,27749.17,32677.57,582.56,61009.3
2017-2018,HIDALGO,1,5,9,IDEA Edinburg College Preparatory,HIDALGO,06/01/2018,723,560,0,163,1,718,718.0,556,0,162,1,580,580.0,449,0,131,0,0,0.0,0,0,0,1298,1210.64,1537.28,0.0,2747.92
2017-2018,HIDALGO,1,5,10,IDEA Weslaco College Preparatory,HIDALGO,08/01/2017,791,791,0,0,14,9386,670.43,9386,0,0,14,8742,624.43,8742,0,0,0,0,0.0,0,0,0,18128,19616.74,28936.02,0.0,48552.76
2017-2018,HIDALGO,1,5,10,IDEA Weslaco College Preparatory,HIDALGO,09/01/2017,790,790,0,0,20,13749,687.45,13749,0,0,20,13466,673.3,13466,0,0,0,0,0.0,0,0,0,27215,28735.41,44572.46,0.0,73307.87
2017-2018,HIDALGO,1,5,10,IDEA Weslaco College Preparatory,HIDALGO,10/01/2017,783,783,0,0,20,14177,708.85,14177,0,0,20,14799,739.95,14799,0,0,0,0,0.0,0,0,0,28976,29629.93,48984.69,0.0,78614.62
2017-2018,HIDALGO,1,5,10,IDEA Weslaco College Preparatory,HIDALGO,11/01/2017,782,782,0,0,19,12333,649.11,12333,0,0,19,12137,638.79,12137,0,0,0,0,0.0,0,0,0,24470,25775.97,40173.47,0.0,65949.44
2017-2018,HIDALGO,1,5,10,IDEA Weslaco College Preparatory,HIDALGO,12/01/2017,776,776,0,0,15,9491,632.73,9491,0,0,15,9688,645.87,9688,0,0,0,0,0.0,0,0,0,19179,19836.19,32067.28,0.0,51903.47
